Property Type,District,Mukim,Scheme Name/Area,"Month, Year of Transaction Date",Tenure,Land/Parcel Area,Unit Metrics,Main Floor Area,Unit        ,Unit Level,Transaction Price  ,Year,Square Feet,Total Floors,Floor Percentile
Service Apartment,Petaling,Bandar Subang Jaya,"SAUJANA RESIDENCY - SS 16, SUBANG JAYA",Feb-22,Freehold,69.95,sq.m,-,-,16,"RM595,000.00",2022,753,19,0.84
Condominium/Apartment,Petaling,Pekan Subang Jaya,INDERA SUBANG KONDOMINIUM - USJ 6,Sep-23,Freehold,138,sq.m,-,-,1,"RM608,000.00",2023,1485,17,0.06
Service Apartment,Petaling,Bandar Subang Jaya,"SAUJANA RESIDENCY - SS 16, SUBANG JAYA",Apr-21,Freehold,140.92,sq.m,-,-,11,"RM970,000.00",2021,1517,19,0.58
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Apr-21,Freehold,65,sq.m,-,-,12,"RM631,000.00",2021,700,23,0.52
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE AVENUE-USJ 1,Apr-22,Leasehold,126,sq.m,-,-,17,"RM470,000.00",2022,1356,19,0.89
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE PARK KONDO,Apr-22,Leasehold,115,sq.m,-,-,16,"RM470,000.00",2022,1238,21,0.76
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Apr-22,Leasehold,96.98,sq.m,-,-,5,"RM500,000.00",2022,1044,30,0.17
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Apr-22,Leasehold,116,sq.m,-,-,9,"RM470,000.00",2022,1249,30,0.3
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Apr-22,Leasehold,121.97,sq.m,-,-,17,"RM530,000.00",2022,1313,30,0.57
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Apr-22,Leasehold,122,sq.m,-,-,17,"RM520,000.00",2022,1313,30,0.57
Service Apartment,Petaling,Bandar Subang Jaya,"SAUJANA RESIDENCY - SS 16, SUBANG JAYA",Apr-22,Freehold,126.34,sq.m,-,-,12,"RM750,000.00",2022,1360,19,0.63
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Apr-22,Freehold,65,sq.m,-,-,17,"RM462,000.00",2022,700,23,0.74
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Apr-22,Freehold,65,sq.m,,,18,"RM430,000.00",2022,700,23,0.78
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Apr-22,Freehold,65,sq.m,,,18,"RM440,000.00",2022,700,23,0.78
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Apr-22,Freehold,65,sq.m,,,18,"RM450,000.00",2022,700,23,0.78
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Apr-22,Freehold,105,sq.m,-,-,18,"RM610,000.00",2022,1130,23,0.78
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Apr-22,Freehold,113,sq.m,-,-,15,"RM670,000.00",2022,1216,23,0.65
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Apr-22,Freehold,113,sq.m,,,16,"RM670,000.00",2022,1216,23,0.7
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Apr-22,Freehold,90,sq.m,-,-,13,"RM560,000.00",2022,969,25,0.52
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Apr-22,Freehold,92.44,sq.m,-,-,18,"RM390,000.00",2022,995,25,0.72
Service Apartment,Petaling,Bandar Subang Jaya,GRAND SUBANG JAYA @ SS15,Apr-22,Freehold,52,sq.m,-,-,3,"RM526,000.00",2022,560,24,0.13
Service Apartment,Petaling,Bandar Subang Jaya,GRAND SUBANG JAYA @ SS15,Apr-22,Freehold,52,sq.m,,,23,"RM532,000.00",2022,560,24,0.96
